Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	-0.00853425
2.01	-0.0587438
2.02	0.062162
2.03	0.138293
2.04	0.146203
2.05	0.0790021
2.06	-0.00541991
2.07	-0.0467249
2.08	-0.105097
2.09	-0.117052
2.1	-0.131166
2.11	-0.147101
2.12	-0.128462
2.13	-0.141453
2.14	-0.124925
2.15	-0.126286
2.16	-0.141395
2.17	-0.125043
2.18	-0.13943
2.19	-0.121495
2.2	-0.106626
2.21	-0.0976665
2.22	-0.0625826
2.23	-0.065983
2.24	-0.0533758
2.25	-0.0706024
2.26	-0.114139
2.27	-0.138265
2.28	-0.190341
2.29	-0.20057
2.3	-0.212394
2.31	-0.233255
2.32	-0.22255
2.33	-0.242423
2.34	-0.23331
2.35	-0.238935
2.36	-0.271976
2.37	-0.259046
2.38	-0.124855
2.39	0.261132
2.4	0.539317
2.41	0.434357
2.42	0.155876
2.43	-0.111265
2.44	-0.211126
2.45	-0.215357
2.46	-0.190707
2.47	-0.140861
2.48	-0.141024
2.49	-0.113358
2.5	-0.092976
2.51	-0.0809657
2.52	-0.0340256
2.53	-0.0228857
2.54	0.0209103
2.55	0.0592273
2.56	0.0920251
2.57	0.155583
2.58	0.177501
2.59	0.223166
2.6	0.247748
2.61	0.242375
2.62	0.240695
2.63	0.171922
2.64	0.112184
2.65	0.0385631
2.66	-0.0398339
2.67	-0.0724363
2.68	-0.122672
2.69	-0.128082
2.7	-0.133565
2.71	-0.146703
2.72	-0.129676
2.73	-0.148215
2.74	-0.136176
2.75	-0.133327
2.76	-0.145415
2.77	-0.12823
2.78	-0.146974
2.79	-0.138296
2.8	-0.137111
2.81	-0.140311
2.82	-0.106978
2.83	-0.106036
2.84	-0.075303
2.85	-0.0594588
2.86	-0.0783651
2.87	-0.08762
2.88	-0.138993
2.89	-0.16282
2.9	-0.182822
2.91	-0.203758
2.92	-0.19074
2.93	-0.210457
2.94	-0.20011
2.95	-0.19775
2.96	-0.211822
2.97	-0.206876
2.98	-0.236719
2.99	-0.129867
3	0.215457
3.01	0.593325
3.02	0.655461
3.03	0.334619
3.04	0.0152178
3.05	-0.140677
3.06	-0.168962
3.07	-0.117849
3.08	-0.109984
3.09	-0.0817275
3.1	-0.0652999
3.11	-0.0626259
3.12	-0.0225048
3.13	-0.0165298
3.14	0.0213761
3.15	0.0543857
3.16	0.0769466
3.17	0.134457
3.18	0.160546
3.19	0.215697
3.2	0.253305
3.21	0.265249
3.22	0.296806
3.23	0.266657
3.24	0.232368
3.25	0.163487
3.26	0.0694034
3.27	0.0148307
3.28	-0.0586937
3.29	-0.0899404
3.3	-0.113095
3.31	-0.13644
3.32	-0.122527
3.33	-0.141619
3.34	-0.13302
3.35	-0.131126
3.36	-0.142947
3.37	-0.124131
3.38	-0.141417
3.39	-0.133794
3.4	-0.131433
3.41	-0.142757
3.42	-0.126227
3.43	-0.145924
3.44	-0.13517
3.45	-0.120231
3.46	-0.114581
3.47	-0.0794518
3.48	-0.0761259
3.49	-0.0453874
3.5	-0.0364615
3.51	-0.0653038
3.52	-0.0721282
3.53	-0.117456
3.54	-0.130872
3.55	-0.141214
3.56	-0.162597
3.57	-0.149657
3.58	-0.171124
3.59	-0.164331
3.6	-0.161865
3.61	-0.185505
3.62	-0.185027
3.63	-0.144329
3.64	0.150268
3.65	0.562646
3.66	0.684012
3.67	0.453427
3.68	0.0899962
3.69	-0.0916113
3.7	-0.120003
3.71	-0.104197
3.72	-0.0573125
3.73	-0.0585347
3.74	-0.0350157
3.75	-0.0157625
3.76	-0.0105414
3.77	0.0318621
3.78	0.0394333
3.79	0.0769412
3.8	0.113588
3.81	0.139083
3.82	0.203332
3.83	0.231378
3.84	0.278727
3.85	0.312048
3.86	0.316773
3.87	0.337738
3.88	0.292868
3.89	0.241185
3.9	0.167311
3.91	0.0787173
3.92	0.0388149
3.93	-0.0208888
3.94	-0.0420186
3.95	-0.0561982
3.96	-0.075457
3.97	-0.0549802
3.98	-0.0683465
3.99	-0.0558794
4	-0.0480226
4.01	-0.0574771
4.02	-0.0331148
4.03	-0.0452789
4.04	-0.0354345
4.05	-0.0341711
4.06	-0.052952
4.07	-0.0385729
4.08	-0.0563295
4.09	-0.0501067
4.1	-0.0471728
4.11	-0.0599841
4.12	-0.0427347
4.13	-0.0637998
4.14	-0.0589283
4.15	-0.056507
4.16	-0.0737688
4.17	-0.0565582
4.18	-0.0691257
4.19	-0.0455215
4.2	-0.0190416
4.21	-0.0170812
4.22	0.0226646
4.23	0.0271976
4.24	0.0319722
4.25	0.0119325
4.26	-0.0313599
4.27	-0.0436167
4.28	-0.0865806
4.29	-0.0949011
4.3	-0.097745
4.31	-0.115355
4.32	-0.10128
4.33	-0.123743
4.34	-0.124986
4.35	-0.139996
4.36	-0.151156
4.37	0.0289557
4.38	0.393633
4.39	0.68803
4.4	0.598782
4.41	0.252986
4.42	-0.00455816
4.43	-0.125233
4.44	-0.109112
4.45	-0.0714877
4.46	-0.064945
4.47	-0.029869
4.48	-0.0306306
4.49	-0.00772307
4.5	0.0149358
4.51	0.0206004
